"Region","Year","season","weighted_average"
"CLS",2003,"Annual",1.117075344296
"CLS",2003,"Fall",0.384109940427041
"CLS",2003,"Spring",1.58604558839256
"CLS",2003,"Summer",0.505203979812221
"CLS",2003,"Winter",0.0493981342706293
"CLS",2004,"Annual",0.778613471477124
"CLS",2004,"Fall",0.431596863679677
"CLS",2004,"Spring",1.16386142265279
"CLS",2004,"Summer",0.400012356285132
"CLS",2004,"Winter",0.064798442766193
"CLS",2005,"Annual",0.857910587319162
"CLS",2005,"Fall",0.720490247728854
"CLS",2005,"Spring",1.17508101612388
"CLS",2005,"Summer",0.815351044186622
"CLS",2005,"Winter",0.0642469038364653
"CLS",2006,"Annual",1.14700944217952
"CLS",2006,"Fall",0.698415772760742
"CLS",2006,"Spring",1.4474198071624
"CLS",2006,"Summer",0.795264957906619
"CLS",2006,"Winter",0.0721314197826805
"CLS",2007,"Annual",1.14477101844635
"CLS",2007,"Fall",0.541503578903823
"CLS",2007,"Spring",1.67428685404657
"CLS",2007,"Summer",0.875459788075575
"CLS",2007,"Winter",0.0878110008337907
"CLS",2008,"Annual",0.724791136915947
"CLS",2008,"Fall",0.304795163318116
"CLS",2008,"Spring",1.19515964663858
"CLS",2008,"Summer",0.203991710403494
"CLS",2008,"Winter",0.0590348166412521
"CLS",2009,"Annual",0.390258292683688
"CLS",2009,"Fall",0.299394270156554
"CLS",2009,"Spring",0.534833593919778
"CLS",2009,"Summer",0.267532437814687
"CLS",2009,"Winter",0.0536074394977824
"CLS",2010,"Annual",0.99783730532669
"CLS",2010,"Fall",0.867245480704263
"CLS",2010,"Spring",1.20964781553967
"CLS",2010,"Summer",1.27755043036086
"CLS",2010,"Winter",0.105028206893286
"CLS",2011,"Annual",0.807702353088372
"CLS",2011,"Fall",0.518771025262752
"CLS",2011,"Spring",1.17582312839988
"CLS",2011,"Summer",0.642076634938115
"CLS",2011,"Winter",0.107315859436487
"CLS",2012,"Annual",1.24380759410008
"CLS",2012,"Fall",0.884888002442166
"CLS",2012,"Spring",1.54729412062136
"CLS",2012,"Summer",0.88817903660297
"CLS",2012,"Winter",0.0561265527870282
"CLS",2013,"Annual",0.524135898105777
"CLS",2013,"Fall",0.428727316967381
"CLS",2013,"Spring",0.734227803142857
